V1,StartDate,EndDate,_v1,RecordedDate,ResponseId,qmetadata_Browser,qmetadata_Version,_v2,qmetadata_Resolution,follow,reg1,votemail1a,votemail1b,votecount,votemail2,voterid1,voterid2,turnout16a,turnout16a1,turnout16b,vote16,hopeful,afraid,outraged,angry,happy,worried,proud,irritated,nervous,meeting,moneyorg,protest,online,persuade,button,moneycand,argument,particip_none,talk1,talk2,talk3,fttrump1,ftobama1,ftbiden1,ftwarren1,ftsanders1,ftbuttigieg1,ftharris1,ftklobuchar1,ftpence1,ftyang1,ftpelosi1,ftrubio1,ftocasioc1,fthaley1,ftthomas1,ftfauci1,ftblack,ftwhite,fthisp,ftasian,ftillegal,ftfeminists,ftmetoo,fttransppl,ftsocialists,ftcapitalists,ftbigbusiness,ftlaborunions,ftrepublicanparty,ftdemocraticparty,primaryvote,vote20jb,vote20bs,cvote2020,apppres7,frnpres7,immpres7,econpres7,covidpres7,healthcarepres7,check,dtleader1,dtleader2,dtcares,dtdignif,dthonest,dtauth,dtdiv,dtknow,jbleader1,jbleader2,jbcares,jbdignif,jbhonest,jbauth,jbdiv,jbknow,bsleader1,bsleader2,bscares,bsdignif,bshonest,bsauth,bsdiv,bsknow,econnow,finworry,confecon,taxecon,billtax1,billtax2,richpoor2,guarinc1,guarinc2,lcself,lcd,lcr,freemkt1a,freemkt1b,freemkt2,freemkt3,govsize1a,govsize1b,govsize2,govsize3,regulate1,regulate2,ineqinc1a,strpres1a,strpres1b,mutual,leastgrp,tol_rally,tol_pres,tol_teach,antirelig1,antirelig2,racist1,racist2,immignum,wall7,pathway,return,open,affact,hlthcare1,hlthcare2,covid1,covid2,covid_elect,abort1,abort_imp,abort2,gayadopt,transmilit1a,transmilit1b,harass,freecol1,freecol2,loans1,loans2,diversity7,experts,science,exphelp,excessive,compro1,compro2,pcorrect,selfcensor,childrear1,childrear2,childrear3,childrear4,rural2,rural3,rural4,mis_covid1,conf_covid1,mis_covid2,conf_covid2,impeach1,impeach2,pid1r,pid2r,pidstr,pidlean,pidstr1,pidstr2,pidstr3,rr1,rr2,rr3,rr4,health1,relig1,relig1_11_TEXT,relig2a,relig2b,att1,att2,att3,fundmt1,fundmt2,socmed_1,socmed_2,socmed_3,socmed_4,socmed_5,socmed_6,socmed_7,socmed_8,socmed_9,facebook1,twitter1,impact1,impact2,impact3,impact4,impact5,impact6,impact7,impact8,impact9,ethnic1,ethnic2,ethnic3,latin1,race1a_1,race1a_2,race1a_3,race1a_4,race1a_5,race1b_1,race1b_2,race1b_3,race1b_4,race1b_5,groupid1a_lat,groupid2a_lat,groupid3a_lat,groupid1a_whi,groupid1a_bla,groupid1a_nat,groupid1a_asi,groupid1a_hpi,groupid2a_whi,groupid2a_bla,groupid2a_nat,groupid2a_asi,groupid2a_hpi,groupid3a_whi,groupid3a_bla,groupid3a_nat,groupid3a_asi,groupid3a_hpi,groupid1b_lat,groupid2b_lat,groupid3b_lat,groupid1b_whi,groupid1b_bla,groupid1b_nat,groupid1b_asi,groupid1b_hpi,groupid2b_whi,groupid2b_bla,groupid2b_nat,groupid2b_asi,groupid2b_hpi,groupid3b_whi,groupid3b_bla,groupid3b_nat,groupid3b_asi,groupid3b_hpi,whitejob,femid1a,femid1b,femid2_fem,femid2_anti,femid2_nei,knowtran1,knowtran2_1,knowtran2_2,knowtran2_3,knowtran2_4,knowtran2_5,knowtran2_6,knowgay1,knowgay2_1,knowgay2_2,knowgay2_3,knowgay2_4,knowgay2_5,knowgay2_6,stress1,stress2,stress3,stress4,depress1,depress2,depress3,depress4,depress5,callout1,speech1,forgive1a,forgive1b,callout2,speech2,forgive2a,forgive2b,divmoral,forgive3,moralsup1,duepro3,moralcert3,forgive5,intelsup1,moralcert1,duepro4,moralcert6,forgive4,moralcert2,duepro1,callout3a,callout3b,moralsup2,duepro2,intelsup2,duepro5,moralcert4,forgive6,moralcert5,link_bla,link_his,link_asi,link_whi,link_hpi,link_nat,selfmon1,selfmon2,selfmon3,selfmon4,selfmon5,selfmon6,inc_anes,inc_cps,inc_cpsmod,home_anes,home_cps,viol3_dems,viol3_reps,viol3_both,viol1,viol2a,viol2b,exptravel_ever,exphomesch,expconvert,expholiday,expshark,exparrest,exppubasst,expfight,expavoid,callout_social,callout_person,expknowimmig,expbuyus,expretire,expknowpris,birthyr,sex,educ,state,children,marital1,marital2,citizen1,citizen2,geer1896,admit,mauga,pk_cjus,pk_germ,pk_sen,pk_spend,whites_1,whites_2,whites_3,whites_4,whites_5,whites_6,whites_7,blacks_1,blacks_2,blacks_3,blacks_4,blacks_5,blacks_6,blacks_7,hisp_1,hisp_2,hisp_3,hisp_4,hisp_5,hisp_6,hisp_7,asians_1,asians_2,asians_3,asians_4,asians_5,asians_6,asians_7,survexp1,survexp2,dejavu,serious,form,INSTRUCTION_GROUP,FEEDBACK_GROUP,XGOVT,XFORGIVE,XCONTACT,RAND_INC,surv_comp,USIPAddress,age,home_ownership,income,vote20turnoutjb,particip_count,pk_mauga_correct,pk_germ_correct,pk_cjus_correct,pk_sen_correct,pk_spend_correct,pk_cjus_correctb,pk_index,pidstr1_dr,pidstr1_ind,pidstr2_dr,pidstr2_ind,pidstr3_dr,pidstr3_ind,pid7,pid7str,hispanic,hispanic_white,nonhispanic_white,hispanicr,race1_white,race1_black,race1_namer,race1_asian,race1_hpi,rr_scale,white,black,namer,asian,hpi,mixed,race7,vidx,vidknow
1451,"4/12/2020 17:04","4/12/2020 17:23",1131,"4/12/2020 17:23","R_3oBJppI62KNh4MC","Chrome","81.0.4044.96","Android 9","360x760",1,1,4,77,4,4,1,2,1,6,7,1,3,2,1,1,3,3,4,1,2,0,0,0,0,0,0,0,0,1,6,3,4,80,75,65,999,50,999,999,999,70,999,40,999,999,999,999,999,100,100,100,100,95,100,100,100,90,999,999,999,999,999,2,1,1,1,1,1,5,3,1,77,5,1,77,2,2,1,2,3,2,3,77,3,2,3,3,3,2,2,77,4,3,2,4,4,4,2,2,2,4,4,77,2,4,77,4,2,2,1,2,77,77,2,1,77,77,3,77,4,2,77,2,9,3,4,1,1,1,1,1,3,3,2,4,3,4,4,2,5,2,3,4,2,3,4,1,77,3,4,77,4,77,4,3,3,3,3,2,3,2,3,1,1,1,2,4,4,3,2,3,2,5,4,4,1,66,2,6,3,3,3,3,4,3,3,3,1,"",6,7,1,4,6,2,6,1,0,1,0,0,1,1,0,0,1,66,4,3,3,3,3,3,3,3,3,"White","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,4,6,6,6,6,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,3,1,0,1,0,0,1,0,1,1,0,1,0,1,0,7,7,7,7,7,7,7,7,7,4,3,66,5,3,3,66,4,2,3,1,3,3,3,3,4,2,3,3,2,3,6,3,2,4,4,2,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,66,10,66,1,7,1,6,6,3,3,7,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1992,2,4,17,2,3,1,1,7,9999,6,"","","",4,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,5,1,1,0,2,2,1,2,1,1,27,1,10,1,0,0,0,0,0,1,0,.25,3,6,3,6,3,6,2,2,0,0,1,9,1,0,0,0,0,9,1,0,0,0,0,0,1,2,1
2875,"4/16/2020 10:14","4/16/2020 11:06",3170,"4/16/2020 11:06","R_1jdLlxoKBpgExZS","Firefox","52","Windows NT 5.1","1024x768",2,1,5,77,3,4,1,1,1,6,7,1,4,1,1,1,4,3,4,1,2,0,0,0,1,0,0,0,1,0,2,5,5,85,15,20,20,15,20,20,30,70,30,0,20,20,20,15,80,30,80,50,20,10,20,20,20,30,60,20,0,80,10,2,1,1,2,2,2,1,2,1,77,5,1,77,3,1,3,1,1,2,4,77,4,5,5,4,4,5,5,77,5,5,5,5,4,4,2,2,2,2,5,77,3,2,77,6,2,7,1,2,77,77,2,1,77,77,3,77,3,1,77,1,4,7,1,5,2,2,2,2,6,1,1,1,2,4,3,2,4,3,2,4,3,7,2,2,77,2,4,77,5,77,5,4,2,3,3,2,4,3,3,2,2,2,2,5,5,5,2,4,2,4,7,1,1,66,1,6,3,3,3,1,5,5,1,3,1,"",6,7,2,6,6,1,3,1,0,0,0,1,1,0,0,0,2,66,5,3,4,2,5,4,3,3,3,"irish","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,5,6,6,6,6,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,2,1,0,1,0,0,1,0,1,1,0,0,0,1,0,7,7,7,7,7,7,7,7,7,1,4,66,3,1,2,66,4,2,3,2,1,2,3,1,1,1,3,2,2,1,6,2,5,4,4,4,3,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,66,66,3,7,4,6,6,2,1,7,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1959,2,4,35,0,1,6,1,7,1959,6,"senator","congress","senate",8,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,4,1,0,0,1,2,2,1,2,1,60,2,7,1,2,0,0,0,0,0,0,0,3,6,3,6,3,6,1,3,0,0,1,9,1,0,0,0,0,16,1,0,0,0,0,0,1,3,0
859,"4/17/2020 21:34","4/17/2020 22:32",3490,"4/17/2020 22:32","R_ClTXw6WOcfMOLWp","Chrome","81.0.4044.111","Android 9","360x760",2,4,4,77,3,3,1,1,2,6,7,4,1,5,5,5,1,5,1,5,5,1,0,0,1,0,0,0,1,0,5,4,4,999,999,0,999,20,999,999,999,20,30,0,0,40,20,10,0,50,50,50,50,50,20,30,30,10,10,0,10,0,0,3,4,4,4,7,7,7,7,7,77,5,5,77,5,5,5,5,1,5,5,77,5,5,3,3,4,3,5,77,2,3,3,3,5,4,5,5,5,3,6,77,2,4,77,4,2,6,1,2,77,77,2,2,77,77,3,77,2,7,77,1,2,4,1,4,1,1,1,2,3,7,1,5,1,4,3,4,3,2,2,2,3,3,4,1,77,2,4,77,4,77,2,4,4,4,3,1,2,4,3,2,1,2,1,5,2,3,2,3,2,4,2,5,4,99,6,3,6,6,6,3,2,2,3,2,12,"",3,7,1,4,6,6,6,1,0,0,0,1,0,0,0,0,2,66,4,3,3,4,4,4,3,4,5,"Irish","777. NA: Form 1",999,1,1,0,1,0,0,7,7,7,7,7,3,2,2,4,6,4,6,6,1,6,1,6,6,2,6,2,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7,6,4,6,2,0,0,0,0,0,0,1,0,0,1,0,1,1,7,7,7,7,7,7,7,7,7,4,3,6,66,4,4,2,66,4,1,2,5,3,5,3,3,2,1,1,5,3,2,6,5,5,3,4,2,4,1,7,7,7,7,7,7,7,7,7,7,7,7,10,66,66,2,7,6,6,6,3,1,7,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1974,1,5,3,0,3,2,1,7,1963,6,"i don't know","i don't know","i don't know",6,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,5,1,0,0,1,1,2,1,3,1,45,2,10,0,3,0,0,0,1,1,0,.5,6,6,6,6,6,6,4,0,1,1,0,0,1,0,1,0,0,6,0,0,0,0,0,0,5,3,0
2031,"4/16/2020 17:29","4/16/2020 18:34",3885,"4/16/2020 18:34","R_3sjr4zeG5BbBJa0","Chrome","78.0.3904.96","Android 7.1.1","320x570",2,1,6,77,3,4,1,1,1,6,7,1,4,2,1,2,2,2,3,2,1,0,0,0,1,0,0,0,0,0,2,4,4,80,50,55,999,55,999,999,999,80,999,12,35,15,999,30,90,50,50,50,50,5,25,35,40,40,50,70,50,80,36,3,1,1,2,2,3,1,2,2,77,5,3,77,1,4,2,2,3,3,3,77,3,4,4,5,3,3,3,77,4,2,3,3,3,2,5,4,3,3,2,77,3,3,77,4,2,6,1,2,77,77,1,2,77,77,2,77,3,1,77,1,3,3,4,4,1,1,1,1,7,1,3,1,5,4,3,5,3,3,2,4,4,5,4,2,77,2,4,77,3,77,4,4,4,5,2,1,3,4,4,2,2,1,1,7,7,5,2,1,2,2,7,1,1,66,1,6,3,1,1,1,4,4,2,1,1,"",6,7,2,6,6,2,6,1,1,0,0,1,0,0,0,0,1,7,5,4,3,5,4,5,3,5,5,"Scotch Irish","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,4,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7,6,6,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,4,2,66,2,3,2,66,2,4,1,2,4,4,2,1,3,3,2,1,3,1,6,2,1,4,2,2,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,1,66,66,3,7,3,6,6,4,1,7,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1954,2,2,43,0,5,2,1,7,1290,5,"head shaman","reporter","canadian pm",6,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,3,3,0,4,1,0,1,1,2,2,1,1,1,65,2,1,1,1,0,1,0,1,0,0,.5,3,6,1,6,1,6,1,3,0,0,1,9,1,0,0,0,0,13,1,0,0,0,0,0,1,3,1
587,"4/16/2020 15:20","4/16/2020 15:59",2330,"4/16/2020 15:59","R_21H8jh0vE4GUqI5","Chrome","80.0.3987.132","Windows NT 10.0","1920x1080",4,1,1,77,3,2,1,2,1,6,7,2,3,2,1,1,2,2,2,1,3,0,0,0,0,0,0,0,0,1,0,2,2,0,100,90,0,55,0,50,0,0,0,70,0,0,0,0,95,100,45,55,30,20,10,10,0,0,0,50,90,0,95,1,2,2,1,7,6,7,6,6,77,5,5,77,5,5,5,5,5,5,2,77,2,1,2,2,1,1,3,77,4,3,3,3,3,3,5,4,4,5,1,77,2,2,77,4,3,6,2,3,77,77,1,1,77,77,3,77,3,5,77,3,6,7,7,7,2,2,2,2,7,7,2,3,3,6,6,3,3,3,3,4,5,4,7,2,77,1,7,77,7,77,6,4,4,3,2,1,5,2,3,2,2,1,2,5,4,4,2,3,2,4,1,7,2,66,1,6,5,1,1,5,5,1,5,3,11,"baptist",6,7,2,6,6,2,6,1,0,0,0,1,0,0,0,0,5,66,4,5,4,5,5,5,5,5,5,"african","777. NA: Form 1",999,2,0,1,0,0,0,7,7,7,7,7,6,6,6,6,4,6,6,6,6,5,6,6,6,6,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,7,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,5,2,66,7,1,1,66,6,2,3,4,3,4,3,2,3,4,3,2,3,3,6,4,2,3,4,2,3,4,2,7,7,7,7,7,7,7,7,7,7,7,7,11,66,66,1,7,6,5,6,4,1,7,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1966,1,3,43,0,5,2,1,7,1979,5,"secretary","representative","senate",2,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,100,60,1,5,1,0,1,1,2,2,1,3,1,53,1,11,1,0,0,0,0,0,1,0,.25,5,6,1,6,1,6,7,3,0,0,0,9,0,1,0,0,0,4,0,1,0,0,0,0,2,2,0
183,"4/14/2020 18:19","4/14/2020 18:43",1435,"4/14/2020 18:43","R_25A8BQNAojPvkEJ","Chrome","80.0.3987.116","Windows NT 10.0","1536x864",2,3,1,77,4,2,3,7,2,6,7,4,1,2,1,1,1,2,1,1,3,0,0,0,1,0,0,0,1,0,2,2,1,35,5,10,7,95,40,6,7,50,65,35,30,85,50,50,30,15,40,55,65,30,0,1,3,90,70,50,50,70,40,3,1,2,2,4,4,3,3,5,77,5,5,77,5,5,2,3,1,5,4,77,5,5,5,5,4,5,1,77,1,1,1,1,5,1,4,2,3,5,1,77,3,5,77,3,3,6,1,2,77,77,2,2,77,77,2,77,2,3,77,1,4,7,2,7,1,1,2,2,4,5,1,1,3,4,1,2,5,3,3,2,1,2,5,1,77,1,1,77,1,77,4,4,4,4,2,2,3,4,3,2,1,1,1,5,5,5,2,3,2,4,6,1,2,66,2,6,4,2,2,1,5,4,2,5,11,"Christian",6,7,2,6,6,2,6,1,0,0,1,1,0,0,0,0,5,66,3,5,3,4,3,4,5,5,5,"Mexican","777. NA: Form 1",999,1,0,0,0,0,1,7,7,7,7,7,3,3,4,6,6,6,6,5,6,6,6,6,1,6,6,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,7,6,6,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,7,7,7,7,7,7,7,7,7,4,5,66,6,2,3,66,6,4,1,3,4,4,3,3,5,2,3,1,4,5,6,1,3,5,4,5,4,2,2,7,7,7,7,7,7,7,7,7,7,7,7,9,66,66,4,7,6,2,6,4,2,7,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1997,1,5,33,0,5,2,1,7,1884,5,"senator","senator","congress",6,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,7,5,0,5,1,1,1,1,2,1,1,3,1,22,3,9,1,2,0,0,0,1,0,0,.25,4,6,2,6,2,6,6,2,1,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,5,0,0
1366,"4/11/2020 19:00","4/11/2020 20:21",4856,"4/11/2020 20:21","R_1l4VkmzZU9AEEW2","Safari iPhone","13.0.5","iPhone","320x568",3,1,4,77,3,4,2,7,1,6,7,2,2,4,3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,1,0,4,4,30,90,40,30,45,20,20,10,29,25,40,60,50,40,40,30,60,60,30,25,0,25,20,20,30,20,35,20,10,25,2,2,2,1,4,4,5,4,3,77,5,4,77,3,2,2,2,2,1,3,77,3,1,3,2,3,4,1,77,2,2,3,2,2,2,4,3,3,4,4,77,4,4,77,4,4,2,1,2,77,77,2,2,77,77,3,77,4,3,77,2,2,7,1,4,2,2,2,1,4,4,2,2,1,4,3,3,3,2,4,1,4,4,2,1,77,3,4,77,4,77,3,4,3,3,3,1,3,3,2,2,2,1,1,3,3,4,2,4,2,4,3,5,3,66,6,2,3,3,3,3,2,3,3,2,11,"Christian",6,7,2,6,6,2,6,1,0,0,0,1,1,0,0,0,1,66,4,4,4,4,5,4,4,5,5,"American","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,5,6,6,6,6,3,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7,6,6,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,2,5,4,66,1,3,3,66,3,3,3,2,2,2,2,1,3,3,5,3,4,3,6,3,4,2,2,2,3,2,7,7,7,7,7,7,7,7,7,7,7,7,66,66,14,2,7,6,4,6,3,3,7,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1992,1,2,10,0,5,2,1,7,1896,6,"lieutenant governor of american samoa","chief justice of the supreme court","chancellor of germany",6,3,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,6,0,4,1,0,0,2,1,0,3,1,1,27,2,14,1,0,1,1,1,1,0,1,.75,6,3,6,3,6,3,5,1,0,0,1,9,1,0,0,0,0,7,1,0,0,0,0,0,1,1,0
1194,"4/11/2020 8:34","4/11/2020 9:23",2971,"4/11/2020 9:23","R_2xW7qWxmZIc8rqd","Chrome","77.0.3865.73","Android 8.0.0","501x891",1,2,7,77,3,5,3,7,2,6,7,4,3,2,3,2,1,2,2,5,5,0,0,0,0,1,0,0,0,0,7,3,5,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,50,60,0,0,0,0,50,20,20,0,0,0,3,4,4,4,2,1,4,1,5,77,5,1,77,5,3,4,1,3,2,5,77,5,3,3,4,4,3,5,77,5,5,5,5,5,5,5,5,5,3,7,77,4,3,77,1,4,4,2,1,77,77,1,1,77,77,4,77,4,6,77,1,5,4,7,4,1,1,2,2,7,4,1,4,1,7,1,5,4,1,4,4,4,6,4,1,77,2,1,77,1,77,5,2,2,2,2,2,3,4,1,1,1,2,1,6,6,5,1,5,1,4,5,3,4,99,6,3,6,6,6,1,1,3,2,3,11,"Vampire",6,7,2,6,6,1,1,1,1,1,1,1,1,0,1,0,3,1,4,2,1,4,1,5,3,5,4,"Caucasian","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,3,6,6,6,6,4,6,6,6,6,2,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,7,6,6,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,1,1,6,66,5,5,1,66,4,3,5,5,5,5,4,3,3,3,1,5,3,4,6,5,5,3,4,1,3,1,7,7,7,7,7,7,7,7,7,7,7,7,66,66,2,4,7,6,6,6,1,2,7,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1981,1,3,43,0,3,2,1,7,1896,1,"no clue","no clue","no clue",4,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,100,50,0,5,1,0,1,1,1,1,3,1,1,38,3,2,0,1,0,0,0,0,0,0,0,6,6,6,6,6,6,4,0,0,0,1,9,1,0,0,0,0,9,1,0,0,0,0,0,1,0,0
2356,"4/14/2020 11:28","4/14/2020 11:54",1550,"4/14/2020 11:54","R_3qyz3ybT7Vh9C0H","Safari","13.0.5","Macintosh","768x1024",1,1,2,77,4,2,2,7,1,6,7,2,2,5,5,5,2,5,1,5,5,1,0,0,0,0,1,1,0,0,5,4,4,0,85,75,90,65,70,70,70,0,25,85,5,90,5,0,100,95,95,90,90,80,90,70,70,30,40,35,85,10,90,2,2,2,1,7,7,7,7,7,77,5,5,77,5,5,5,5,1,5,2,77,1,1,2,2,4,3,2,77,1,4,1,1,2,3,5,4,5,3,1,77,1,7,77,2,3,6,1,2,77,77,2,2,77,77,3,77,1,4,77,1,5,4,4,4,1,1,1,1,4,7,1,4,1,4,4,4,1,1,3,4,1,7,1,1,77,3,2,77,5,77,1,4,4,4,3,1,4,2,3,1,1,2,1,3,3,5,2,5,2,5,1,7,2,66,1,6,4,2,4,4,2,2,4,5,10,"",6,7,2,6,6,6,6,1,0,0,0,1,0,0,0,0,6,66,2,3,2,4,4,4,1,5,4,"Eastern European","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,4,6,6,6,6,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,7,4,6,6,2,0,0,0,0,0,0,1,0,0,0,0,1,0,7,7,7,7,7,7,7,7,7,2,2,3,66,3,2,2,66,4,3,2,4,5,4,2,2,2,2,2,4,2,3,6,4,3,2,4,1,3,1,7,7,7,7,7,7,7,7,7,7,7,7,66,66,21,3,7,6,1,6,3,1,7,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1953,2,5,32,0,1,6,1,7,1948,5,"gov of hawaii","white house dept. head","chancellor of germany",6,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,20,15,0,5,1,1,1,2,1,2,3,2,1,66,2,21,1,3,0,1,0,1,0,0,.5,4,6,2,6,4,6,7,3,0,0,1,9,1,0,0,0,0,4,1,0,0,0,0,0,1,1,1
2049,"4/16/2020 17:40","4/16/2020 18:58",4661,"4/16/2020 18:58","R_3lSMMSMDLI2eZYO","Safari iPhone","13.1","iPhone","414x736",2,1,1,77,3,3,1,1,1,6,7,1,3,3,4,3,3,4,4,3,3,0,0,0,1,0,0,0,0,0,7,4,4,1,85,95,50,60,65,60,0,60,60,80,60,50,50,50,50,80,80,50,50,0,70,25,80,50,50,30,65,30,80,3,2,2,1,7,6,6,6,7,77,5,5,77,5,5,5,5,5,5,1,77,2,1,1,2,2,1,2,77,2,2,2,2,2,1,4,3,3,3,6,77,2,2,77,4,3,4,2,2,77,77,1,2,77,77,3,77,2,4,77,1,5,4,2,4,2,2,2,2,6,7,1,1,2,4,2,3,3,2,3,4,4,4,2,1,77,1,4,77,6,77,6,2,4,4,3,1,3,2,2,2,2,1,1,5,5,6,9,9,2,4,1,7,2,66,2,6,4,3,3,1,3,4,2,3,12,"",3,7,2,6,6,6,6,1,0,0,0,1,0,0,0,0,2,66,6,4,5,5,5,4,4,5,5,"French Canadian","777. NA: Form 1",999,2,1,0,0,0,0,7,7,7,7,7,6,6,6,4,6,6,6,6,3,6,6,6,6,3,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,6,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,2,3,66,4,1,4,66,2,3,3,1,4,4,3,3,1,3,2,2,3,2,6,4,3,4,3,3,3,2,3,7,7,7,7,7,7,7,7,7,7,7,7,66,66,16,2,7,6,4,6,3,1,7,1,2,2,2,1,1,2,2,1,2,1,2,1,2,2,1953,1,2,7,0,1,6,1,7,1956,6,"taxes","democrat","republican",5,4,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,4,3,1,4,1,2,0,1,2,1,3,1,1,66,2,16,1,1,0,0,0,0,0,0,0,4,6,3,6,3,6,6,2,0,0,1,9,1,0,0,0,0,12,1,0,0,0,0,0,1,3,0
